ID,Day,Month,Year,Target_country,Item_language,Recruit_code,Target_public,People_reached,Item_title,Item_type,Media_type
83,11,4,2023,France,French,DC_Mass,private forest owners,4,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
164,11,5,2022,Poland,Polish,DC_Mass,foresters from all sectors,30,Zaproszenie do udziału w projekcie MyGardenofTrees,personalized email,e-mail
186,11,9,2023,Slovenia,Slovene,DC_Mass,foresters from all sectors,60,MyGardenOfTrees mikrovrtovi - prvo vabilo,personalized email,e-mail
148,12,9,2023,Italy,Italian,DC_Mass,forestry offices,24,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
146,12,9,2023,Italy,Italian,DC_Mass,farmers,3,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
147,12,9,2023,Italy,Italian,DC_Mass,protected areas,1,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
149,13,9,2023,Italy,Italian,DC_Mass,forestry offices,5,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
126,15,3,2023,Hungary,Hungarian,DC_Mass,all,5,MyGardenOfTrees brochure translated into Hungarian,brochure,e-mail
2,15,3,2023,Austria,English,DC_Mass,scientists,2,MyGardenOfTrees brochure,brochure,e-mail
197,15,5,2023,Spain,Spanish,DC_Mass,foresters from all sectors,30,Presentation of Project,mass e-mail,e-mail
109,15,7,2022,Germany,German,DC_Mass,all,41,Email to potential participants after INTERFORST,personalized email,e-mail
75,15,7,2022,France,French,DC_Mass,private forest owners,7,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
12,15,7,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
13,15,8,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
150,15,9,2023,Italy,Italian,DC_Mass,protected areas,30,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
170,15,9,2023,Poland,Polish ,DC_Mass,forestry offices,20,Projekt naukowy MyGardenofTrees,mass e-mail,e-mail
14,15,9,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
127,15,9,2023,Hungary,Hungarian,DC_Mass,all,10,MyGardenOfTrees brochure translated into Hungarian,brochure,e-mail
181,15,9,2023,Slovakia,Hungarian,DC_Mass,private forest owners,5,MyGardenOfTrees brochure translated into Hungarian,brochure,e-mail
179,15,10,2023,Slovakia,English,DC_Mass,all,30,MyGardenOfTrees brochure,brochure,e-mail
17,15,10,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
129,15,10,2023,Hungary,Hungarian,DC_Mass,forest companies,5,MyGardenOfTrees brochure translated into Hungarian,brochure,e-mail
172,15,10,2023,Romania,English,DC_Mass,forestry schools,5,MyGardenOfTrees brochure,brochure,e-mail
18,15,11,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
180,15,11,2023,Slovakia,English,DC_Mass,all,10,MyGardenOfTrees brochure,brochure,e-mail
265,15,11,2023,Switzerland,Italian,DC_Mass,private forest owners,5,Association BoscoTicino,mass e-mail,e-mail
19,15,12,2023,Bulgaria,Bulgarian,DC_Mass,forestry offices,15,Email to forest departments,mass e-mail,e-mail
151,16,9,2023,Italy,Italian,DC_Mass,protected areas,16,Proposta di adesione al progetto MyGardenOfTrees,mass e-mail,e-mail
80,25,1,2023,France,French,DC_Mass,private forest owners,60,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
228,25,10,2023,Switzerland,German,DC_Mass,private forest owners,72,Association WaldGraubunden,mass e-mail,e-mail
214,25,10,2023,Switzerland,French,DC_Mass,private forest owners,55,Association Foret Vaud,mass e-mail,e-mail
223,25,10,2023,Switzerland,German,DC_Mass,private forest owners,52,Association Waldaargau,mass e-mail,e-mail
213,25,10,2023,Switzerland,French,DC_Mass,private forest owners,41,Association Foret Valais,mass e-mail,e-mail
232,25,10,2023,Switzerland,German,DC_Mass,private forest owners,33,Association Waldsanktgallen,mass e-mail,e-mail
210,25,10,2023,Switzerland,French,DC_Mass,private forest owners,27,Association Foret Fribourg,mass e-mail,e-mail
226,25,10,2023,Switzerland,German,DC_Mass,private forest owners,22,Association Waldbasel BL/BS,mass e-mail,e-mail
229,25,10,2023,Switzerland,German,DC_Mass,private forest owners,21,Association WaldLuzern,mass e-mail,e-mail
235,25,10,2023,Switzerland,German,DC_Mass,private forest owners,17,Association Waldthurgau,mass e-mail,e-mail
234,25,10,2023,Switzerland,German,DC_Mass,private forest owners,14,Association Waldsolothurn,mass e-mail,e-mail
233,25,10,2023,Switzerland,German,DC_Mass,private forest owners,14,Association Waldschwyz,mass e-mail,e-mail
231,25,10,2023,Switzerland,German,DC_Mass,private forest owners,14,Association Waldobwalden,mass e-mail,e-mail
212,25,10,2023,Switzerland,French,DC_Mass,private forest owners,11,Association Foret Jura,mass e-mail,e-mail
225,25,10,2023,Switzerland,German,DC_Mass,private forest owners,10,Association Waldaschaffhausen,mass e-mail,e-mail
224,25,10,2023,Switzerland,German,DC_Mass,private forest owners,9,Association Waldappenzeller AI/AR,mass e-mail,e-mail
227,25,10,2023,Switzerland,German,DC_Mass,private forest owners,7,Association Waldglarus,mass e-mail,e-mail
230,25,10,2023,Switzerland,German,DC_Mass,private forest owners,7,Association Waldnidwalden,mass e-mail,e-mail
236,25,10,2023,Switzerland,German,DC_Mass,private forest owners,6,Association Walduri,mass e-mail,e-mail
211,25,10,2023,Switzerland,French,DC_Mass,private forest owners,4,Association Foret Geneve,mass e-mail,e-mail
92,26,7,2023,France,French,DC_Mass,private forest owners,13,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
238,26,10,2023,Switzerland,German,DC_Mass,private forest owners,43,Association Waldzurich,mass e-mail,e-mail
237,26,10,2023,Switzerland,German,DC_Mass,private forest owners,7,Association WaldZug,mass e-mail,e-mail
68,28,6,2022,France,French,DC_Mass,forestry schools,19,Présentation du projet MyGardenOfTrees,mass e-mail,e-mail
